month,company,industry,region,segment,product,account_owner,acquisition_channel,mrr_usd,arr_usd,monthly_logins,features_used,support_tickets,nps_score,months_as_customer,status
2023-02-01,Acme Corp,Technology,North America,Enterprise,Analytics Suite,Bob Smith,Inbound,8996,107952,73,8,11,,1,Active
2023-03-01,Acme Corp,Technology,North America,Enterprise,Analytics Suite,Bob Smith,Inbound,9073,108876,109,6,16,32,2,Active
2023-04-01,Acme Corp,Technology,North America,Enterprise,Analytics Suite,Bob Smith,Inbound,9485,113820,82,9,13,15,3,Active
2023-05-01,Acme Corp,Technology,North America,Enterprise,Analytics Suite,Bob Smith,Inbound,9281,111372,93,4,10,17,4,Active
2023-06-01,Acme Corp,Technology,North America,Enterprise,Analytics Suite,Bob Smith,Inbound,9576,114912,94,8,12,30,5,Active
2023-07-01,Acme Corp,Technology,North America,Enterprise,Analytics Suite,Bob Smith,Inbound,10120,121440,106,4,13,7,6,Active
2023-08-01,Acme Corp,Technology,North America,Enterprise,Analytics Suite,Bob Smith,Inbound,10460,125520,111,6,14,11,7,Active
2023-09-01,Acme Corp,Technology,North America,Enterprise,Analytics Suite,Bob Smith,Inbound,9589,115068,86,6,10,32,8,Active
2023-10-01,Acme Corp,Technology,North America,Enterprise,Analytics Suite,Bob Smith,Inbound,10988,131856,96,6,13,25,9,Active
2023-11-01,Acme Corp,Technology,North America,Enterprise,Analytics Suite,Bob Smith,Inbound,9987,119844,94,5,15,13,10,Active
2023-12-01,Acme Corp,Technology,North America,Enterprise,Analytics Suite,Bob Smith,Inbound,10970,131640,82,8,15,12,11,Active
2024-01-01,Acme Corp,Technology,North America,Enterprise,Analytics Suite,Bob Smith,Inbound,10855,130260,89,9,15,22,12,Active
2024-02-01,Acme Corp,Technology,North America,Enterprise,Analytics Suite,Bob Smith,Inbound,11535,138420,75,5,16,6,13,Active
2024-03-01,Acme Corp,Technology,North America,Enterprise,Analytics Suite,Bob Smith,Inbound,11044,132528,76,5,14,33,14,Active
2024-04-01,Acme Corp,Technology,North America,Enterprise,Analytics Suite,Bob Smith,Inbound,10704,128448,103,7,15,19,15,Active
2024-05-01,Acme Corp,Technology,North America,Enterprise,Analytics Suite,Bob Smith,Inbound,10977,131724,87,9,14,22,16,Active
2024-06-01,Acme Corp,Technology,North America,Enterprise,Analytics Suite,Bob Smith,Inbound,12558,150696,99,8,13,16,17,Active
2024-07-01,Acme Corp,Technology,North America,Enterprise,Analytics Suite,Bob Smith,Inbound,13572,162864,80,8,13,7,18,Active
2024-08-01,Acme Corp,Technology,North America,Enterprise,Analytics Suite,Bob Smith,Inbound,13380,160560,81,9,11,,19,Active
